Matches,Year,Season ,City,Date,Match_type,Player_of_match,Venue,Home Team,Visiting Team,Toss_winner,Toss_decision,Match Winner,Home/Away Result,Won By,Result_margin,Winning Margin Category,Target_Runs,Target_overs,Super_over,Result Method
14,2016,Season 9,Mumbai,20-04-2016,League,RG Sharma,Wankhede Stadium,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,Fielding,Mumbai Indians,Home Win,wickets,6,Moderate Win,171,20,No,Normal
15,2016,Season 9,Rajkot,21-04-2016,League,B Kumar,Saurashtra Cricket Association Stadium,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,Fielding,Sunrisers Hyderabad,Away Win,wickets,10,Dominating Win,136,20,No,Normal
16,2016,Season 9,Pune,22-04-2016,League,AB de Villiers,Maharashtra Cricket Association Stadium,Rising Pune Supergiants,Royal Challengers Bengaluru,Rising Pune Supergiants,Fielding,Royal Challengers Bengaluru,Away Win,Runs,13,Moderate Win,186,20,No,Normal
17,2016,Season 9,Delhi,23-04-2016,League,SV Samson,"Arun Jaitley Stadium, Delhi ",Delhi Capitals,Mumbai Indians,Mumbai Indians,Fielding,Delhi Capitals,Home Win,Runs,10,Close Match,165,20,No,Normal
18,2016,Season 9,Hyderabad,23-04-2016,League,Mustafizur Rahman,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,Fielding,Sunrisers Hyderabad,Home Win,wickets,5,Moderate Win,144,20,No,Normal
19,2016,Season 9,Rajkot,24-04-2016,League,V Kohli,Saurashtra Cricket Association Stadium,Gujarat Lions,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Bating,Gujarat Lions,Home Win,wickets,6,Moderate Win,181,20,No,Normal
20,2016,Season 9,Pune,24-04-2016,League,SA Yadav,Maharashtra Cricket Association Stadium,Rising Pune Supergiants,Kolkata Knight Riders,Kolkata Knight Riders,Fielding,Kolkata Knight Riders,Away Win,wickets,2,Close Match,161,20,No,Normal
21,2016,Season 9,Chandigarh,25-04-2016,League,PA Patel,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Mumbai Indians,Punjab Kings,Fielding,Mumbai Indians,Away Win,Runs,25,Moderate Win,190,20,No,Normal
22,2016,Season 9,Hyderabad,26-04-2016,League,AB Dinda,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Rising Pune Supergiants,Rising Pune Supergiants,Fielding,Rising Pune Supergiants,Away Win,Runs,34,Moderate Win,61,11,No,D/L
23,2016,Season 9,Delhi,27-04-2016,League,CH Morris,"Arun Jaitley Stadium, Delhi ",Delhi Capitals,Gujarat Lions,Delhi Capitals,Fielding,Gujarat Lions,Away Win,Runs,1,Close Match,173,20,No,Normal
24,2016,Season 9,Mumbai,28-04-2016,League,RG Sharma,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Fielding,Mumbai Indians,Home Win,wickets,6,Moderate Win,175,20,No,Normal
25,2016,Season 9,Pune,29-04-2016,League,DR Smith,Maharashtra Cricket Association Stadium,Rising Pune Supergiants,Gujarat Lions,Gujarat Lions,Fielding,Gujarat Lions,Away Win,wickets,3,Close Match,196,20,No,Normal
26,2016,Season 9,Delhi,30-04-2016,League,CR Brathwaite,"Arun Jaitley Stadium, Delhi ",Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,Fielding,Delhi Capitals,Home Win,Runs,27,Moderate Win,187,20,No,Normal
27,2016,Season 9,Hyderabad,30-04-2016,League,DA Warner,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Fielding,Sunrisers Hyderabad,Home Win,Runs,15,Moderate Win,195,20,No,Normal
28,2016,Season 9,Rajkot,01-05-2016,League,AR Patel,Saurashtra Cricket Association Stadium,Gujarat Lions,Punjab Kings,Gujarat Lions,Fielding,Punjab Kings,Away Win,Runs,23,Moderate Win,155,20,No,Normal
29,2016,Season 9,Pune,01-05-2016,League,RG Sharma,Maharashtra Cricket Association Stadium,Rising Pune Supergiants,Mumbai Indians,Mumbai Indians,Fielding,Mumbai Indians,Away Win,wickets,8,Dominating Win,160,20,No,Normal
30,2016,Season 9,Bengaluru,02-05-2016,League,AD Russell,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,Fielding,Kolkata Knight Riders,Away Win,wickets,5,Moderate Win,186,20,No,Normal
31,2016,Season 9,Rajkot,03-05-2016,League,RR Pant,Saurashtra Cricket Association Stadium,Gujarat Lions,Delhi Capitals,Delhi Capitals,Fielding,Delhi Capitals,Away Win,wickets,8,Dominating Win,150,20,No,Normal
32,2016,Season 9,Kolkata,04-05-2016,League,AD Russell,Eden Gardens,Kolkata Knight Riders,Punjab Kings,Punjab Kings,Fielding,Kolkata Knight Riders,Home Win,Runs,7,Close Match,165,20,No,Normal
33,2016,Season 9,Delhi,05-05-2016,League,AM Rahane,"Arun Jaitley Stadium, Delhi ",Delhi Capitals,Rising Pune Supergiants,Rising Pune Supergiants,Fielding,Rising Pune Supergiants,Away Win,wickets,7,Dominating Win,163,20,No,Normal
34,2016,Season 9,Hyderabad,06-05-2016,League,B Kumar,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,Fielding,Sunrisers Hyderabad,Home Win,wickets,5,Moderate Win,127,20,No,Normal
35,2016,Season 9,Bengaluru,07-05-2016,League,V Kohli,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Rising Pune Supergiants,Royal Challengers Bengaluru,Fielding,Royal Challengers Bengaluru,Home Win,wickets,7,Dominating Win,192,20,No,Normal
36,2016,Season 9,Chandigarh,07-05-2016,League,MP Stoinis,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Delhi Capitals,Delhi Capitals,Fielding,Punjab Kings,Home Win,Runs,9,Close Match,182,20,No,Normal
37,2016,Season 9,Visakhapatnam,08-05-2016,League,A Nehra,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Fielding,Sunrisers Hyderabad,Away Win,Runs,85,Dominating Win,178,20,No,Normal
38,2016,Season 9,Kolkata,08-05-2016,League,P Kumar,Eden Gardens,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,Fielding,Gujarat Lions,Away Win,wickets,5,Moderate Win,159,20,No,Normal
39,2016,Season 9,Chandigarh,09-05-2016,League,SR Watson,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Royal Challengers Bengaluru,Punjab Kings,Fielding,Royal Challengers Bengaluru,Away Win,Runs,1,Close Match,176,20,No,Normal
40,2016,Season 9,Visakhapatnam,10-05-2016,League,A Zampa,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rising Pune Supergiants,Sunrisers Hyderabad,Sunrisers Hyderabad,Bating,Sunrisers Hyderabad,Away Win,Runs,4,Close Match,138,20,No,Normal
41,2016,Season 9,Bengaluru,11-05-2016,League,KH Pandya,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,Fielding,Mumbai Indians,Away Win,wickets,6,Moderate Win,152,20,No,Normal
42,2016,Season 9,Hyderabad,12-05-2016,League,CH Morris,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,Fielding,Delhi Capitals,Away Win,wickets,7,Dominating Win,147,20,No,Normal
43,2016,Season 9,Visakhapatnam,13-05-2016,League,MP Stoinis,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Mumbai Indians,Punjab Kings,Mumbai Indians,Bating,Punjab Kings,Away Win,wickets,7,Dominating Win,125,20,No,Normal
44,2016,Season 9,Bengaluru,14-05-2016,League,AB de Villiers,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Gujarat Lions,Gujarat Lions,Fielding,Royal Challengers Bengaluru,Home Win,Runs,144,Dominating Win,249,20,No,Normal
45,2016,Season 9,Kolkata,14-05-2016,League,YK Pathan,Eden Gardens,Kolkata Knight Riders,Rising Pune Supergiants,Rising Pune Supergiants,Bating,Kolkata Knight Riders,Home Win,wickets,8,Dominating Win,66,9,No,D/L
46,2016,Season 9,Chandigarh,15-05-2016,League,HM Amla,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Sunrisers Hyderabad,Punjab Kings,Bating,Sunrisers Hyderabad,Away Win,wickets,7,Dominating Win,180,20,No,Normal
47,2016,Season 9,Visakhapatnam,15-05-2016,League,KH Pandya,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Mumbai Indians,Delhi Capitals,Delhi Capitals,Fielding,Mumbai Indians,Home Win,Runs,80,Dominating Win,207,20,No,Normal
48,2016,Season 9,Kolkata,16-05-2016,League,V Kohli,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Fielding,Royal Challengers Bengaluru,Away Win,wickets,9,Dominating Win,184,20,No,Normal
49,2016,Season 9,Visakhapatnam,17-05-2016,League,AB Dinda,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rising Pune Supergiants,Delhi Capitals,Rising Pune Supergiants,Fielding,Rising Pune Supergiants,Home Win,Runs,19,Moderate Win,58,11,No,D/L
50,2016,Season 9,Bengaluru,18-05-2016,League,V Kohli,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,Fielding,Royal Challengers Bengaluru,Home Win,Runs,82,Dominating Win,203,14,No,D/L
51,2016,Season 9,Kanpur,19-05-2016,League,DR Smith,Green Park,Gujarat Lions,Kolkata Knight Riders,Gujarat Lions,Fielding,Gujarat Lions,Home Win,wickets,6,Moderate Win,125,20,No,Normal
52,2016,Season 9,Raipur,20-05-2016,League,KK Nair,Shaheed Veer Narayan Singh International Stadium,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,Fielding,Delhi Capitals,Home Win,wickets,6,Moderate Win,159,20,No,Normal
53,2016,Season 9,Visakhapatnam,21-05-2016,League,MS Dhoni,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rising Pune Supergiants,Punjab Kings,Punjab Kings,Bating,Rising Pune Supergiants,Home Win,wickets,4,Moderate Win,173,20,No,Normal
54,2016,Season 9,Kanpur,21-05-2016,League,SK Raina,Green Park,Gujarat Lions,Mumbai Indians,Gujarat Lions,Fielding,Gujarat Lions,Home Win,wickets,6,Moderate Win,173,20,No,Normal
55,2016,Season 9,Kolkata,22-05-2016,League,YK Pathan,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Fielding,Kolkata Knight Riders,Home Win,Runs,22,Moderate Win,172,20,No,Normal
56,2016,Season 9,Raipur,22-05-2016,League,V Kohli,Shaheed Veer Narayan Singh International Stadium,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Fielding,Royal Challengers Bengaluru,Away Win,wickets,6,Moderate Win,139,20,No,Normal
57,2016,Season 9,Bengaluru,24-05-2016,Playoffs,AB de Villiers,M Chinnaswamy Stadium,Gujarat Lions,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Fielding,Royal Challengers Bengaluru,Away Win,wickets,4,Moderate Win,159,20,No,Normal
58,2016,Season 9,Delhi,25-05-2016,Playoffs,MC Henriques,"Arun Jaitley Stadium, Delhi ",Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Fielding,Sunrisers Hyderabad,Home Win,Runs,22,Moderate Win,163,20,No,Normal
59,2016,Season 9,Delhi,27-05-2016,Playoffs,DA Warner,"Arun Jaitley Stadium, Delhi ",Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,Fielding,Sunrisers Hyderabad,Away Win,wickets,4,Moderate Win,163,20,No,Normal
60,2016,Season 9,Bengaluru,29-05-2016,Final,BCJ Cutting,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad,Bating,Sunrisers Hyderabad,Away Win,Runs,8,Close Match,209,20,No,Normal
1,2017,Season 10,Hyderabad,05-04-2017,League,Yuvraj Singh,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Fielding,Sunrisers Hyderabad,Home Win,Runs,35,Moderate Win,208,20,No,Normal
2,2017,Season 10,Pune,06-04-2017,League,SPD Smith,Maharashtra Cricket Association Stadium,Rising Pune Supergiants,Mumbai Indians,Rising Pune Supergiants,Fielding,Rising Pune Supergiants,Home Win,wickets,7,Dominating Win,185,20,No,Normal
3,2017,Season 10,Rajkot,07-04-2017,League,CA Lynn,Saurashtra Cricket Association Stadium,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,Fielding,Kolkata Knight Riders,Away Win,wickets,10,Dominating Win,184,20,No,Normal
4,2017,Season 10,Indore,08-04-2017,League,GJ Maxwell,Holkar Cricket Stadium,Punjab Kings,Rising Pune Supergiants,Punjab Kings,Fielding,Punjab Kings,Home Win,wickets,6,Moderate Win,164,20,No,Normal
5,2017,Season 10,Bengaluru,08-04-2017,League,KM Jadhav,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,Bating,Royal Challengers Bengaluru,Home Win,Runs,15,Moderate Win,158,20,No,Normal
6,2017,Season 10,Hyderabad,09-04-2017,League,Rashid Khan,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,Fielding,Sunrisers Hyderabad,Home Win,wickets,9,Dominating Win,136,20,No,Normal
7,2017,Season 10,Mumbai,09-04-2017,League,N Rana,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Fielding,Mumbai Indians,Home Win,wickets,4,Moderate Win,179,20,No,Normal
8,2017,Season 10,Indore,10-04-2017,League,AR Patel,Holkar Cricket Stadium,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Bating,Punjab Kings,Home Win,wickets,8,Dominating Win,149,20,No,Normal
9,2017,Season 10,Pune,11-04-2017,League,SV Samson,Maharashtra Cricket Association Stadium,Rising Pune Supergiants,Delhi Capitals,Rising Pune Supergiants,Fielding,Delhi Capitals,Away Win,Runs,97,Dominating Win,206,20,No,Normal
10,2017,Season 10,Mumbai,12-04-2017,League,JJ Bumrah,Wankhede Stadium,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Fielding,Mumbai Indians,Home Win,wickets,4,Moderate Win,159,20,No,Normal
11,2017,Season 10,Kolkata,13-04-2017,League,SP Narine,Eden Gardens,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,Fielding,Kolkata Knight Riders,Home Win,wickets,8,Dominating Win,171,20,No,Normal
12,2017,Season 10,Bengaluru,14-04-2017,League,KA Pollard,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,Fielding,Mumbai Indians,Away Win,wickets,4,Moderate Win,143,20,No,Normal
13,2017,Season 10,Rajkot,14-04-2017,League,AJ Tye,Saurashtra Cricket Association Stadium,Gujarat Lions,Rising Pune Supergiants,Gujarat Lions,Fielding,Gujarat Lions,Home Win,wickets,7,Dominating Win,172,20,No,Normal
14,2017,Season 10,Kolkata,15-04-2017,League,RV Uthappa,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Fielding,Kolkata Knight Riders,Home Win,Runs,17,Moderate Win,173,20,No,Normal
15,2017,Season 10,Delhi,15-04-2017,League,CJ Anderson,"Arun Jaitley Stadium, Delhi ",Delhi Capitals,Punjab Kings,Delhi Capitals,Bating,Delhi Capitals,Home Win,Runs,51,Dominating Win,189,20,No,Normal
16,2017,Season 10,Mumbai,16-04-2017,League,N Rana,Wankhede Stadium,Mumbai Indians,Gujarat Lions,Mumbai Indians,Fielding,Mumbai Indians,Home Win,wickets,6,Moderate Win,177,20,No,Normal
17,2017,Season 10,Bengaluru,16-04-2017,League,BA Stokes,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Rising Pune Supergiants,Royal Challengers Bengaluru,Fielding,Rising Pune Supergiants,Away Win,Runs,27,Moderate Win,162,20,No,Normal
18,2017,Season 10,Delhi,17-04-2017,League,NM Coulter-Nile,"Arun Jaitley Stadium, Delhi ",Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,Bating,Kolkata Knight Riders,Away Win,wickets,4,Moderate Win,169,20,No,Normal
19,2017,Season 10,Hyderabad,17-04-2017,League,B Kumar,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,Fielding,Sunrisers Hyderabad,Home Win,Runs,5,Close Match,160,20,No,Normal
20,2017,Season 10,Rajkot,18-04-2017,League,CH Gayle,Saurashtra Cricket Association Stadium,Gujarat Lions,Royal Challengers Bengaluru,Gujarat Lions,Fielding,Royal Challengers Bengaluru,Away Win,Runs,21,Moderate Win,214,20,No,Normal
21,2017,Season 10,Hyderabad,19-04-2017,League,KS Williamson,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,Bating,Sunrisers Hyderabad,Home Win,Runs,15,Moderate Win,192,20,No,Normal
22,2017,Season 10,Indore,20-04-2017,League,JC Buttler,Holkar Cricket Stadium,Punjab Kings,Mumbai Indians,Mumbai Indians,Fielding,Mumbai Indians,Away Win,wickets,8,Dominating Win,199,20,No,Normal
23,2017,Season 10,Kolkata,21-04-2017,League,SK Raina,Eden Gardens,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,Fielding,Gujarat Lions,Away Win,wickets,4,Moderate Win,188,20,No,Normal
24,2017,Season 10,Mumbai,22-04-2017,League,MJ McClenaghan,Wankhede Stadium,Mumbai Indians,Delhi Capitals,Delhi Capitals,Fielding,Mumbai Indians,Home Win,Runs,14,Moderate Win,143,20,No,Normal
25,2017,Season 10,Pune,22-04-2017,League,MS Dhoni,Maharashtra Cricket Association Stadium,Rising Pune Supergiants,Sunrisers Hyderabad,Rising Pune Supergiants,Fielding,Rising Pune Supergiants,Home Win,wickets,6,Moderate Win,177,20,No,Normal
26,2017,Season 10,Rajkot,23-04-2017,League,HM Amla,Saurashtra Cricket Association Stadium,Gujarat Lions,Punjab Kings,Gujarat Lions,Fielding,Punjab Kings,Away Win,Runs,26,Moderate Win,189,20,No,Normal
27,2017,Season 10,Kolkata,23-04-2017,League,NM Coulter-Nile,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Fielding,Kolkata Knight Riders,Home Win,Runs,82,Dominating Win,132,20,No,Normal
28,2017,Season 10,Mumbai,24-04-2017,League,BA Stokes,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiants,Mumbai Indians,Fielding,Rising Pune Supergiants,Away Win,Runs,3,Close Match,161,20,No,Normal
29,2017,Season 10,Pune,26-04-2017,League,RV Uthappa,Maharashtra Cricket Association Stadium,Rising Pune Supergiants,Kolkata Knight Riders,Kolkata Knight Riders,Fielding,Kolkata Knight Riders,Away Win,wickets,7,Dominating Win,183,20,No,Normal
30,2017,Season 10,Bengaluru,27-04-2017,League,AJ Tye,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Gujarat Lions,Gujarat Lions,Fielding,Gujarat Lions,Away Win,wickets,7,Dominating Win,135,20,No,Normal
31,2017,Season 10,Kolkata,28-04-2017,League,G Gambhir,Eden Gardens,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,Fielding,Kolkata Knight Riders,Home Win,wickets,7,Dominating Win,161,20,No,Normal
32,2017,Season 10,Chandigarh,28-04-2017,League,Rashid Khan,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Sunrisers Hyderabad,Punjab Kings,Fielding,Sunrisers Hyderabad,Away Win,Runs,26,Moderate Win,208,20,No,Normal
33,2017,Season 10,Pune,29-04-2017,League,LH Ferguson,Maharashtra Cricket Association Stadium,Rising Pune Supergiants,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Fielding,Rising Pune Supergiants,Home Win,Runs,61,Dominating Win,158,20,No,Normal
34,2017,Season 10,Rajkot,29-04-2017,League,KH Pandya,Saurashtra Cricket Association Stadium,Gujarat Lions,Mumbai Indians,Gujarat Lions,Bating,Mumbai Indians,Away Win,Tie,0,Other,154,20,Yes,Normal
35,2017,Season 10,Chandigarh,30-04-2017,League,Sandeep Sharma,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Delhi Capitals,Punjab Kings,Fielding,Punjab Kings,Home Win,wickets,10,Dominating Win,68,20,No,Normal
36,2017,Season 10,Hyderabad,30-04-2017,League,DA Warner,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Fielding,Sunrisers Hyderabad,Home Win,Runs,48,Moderate Win,210,20,No,Normal
37,2017,Season 10,Mumbai,01-05-2017,League,RG Sharma,Wankhede Stadium,Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Bating,Mumbai Indians,Home Win,wickets,5,Moderate Win,163,20,No,Normal
38,2017,Season 10,Pune,01-05-2017,League,BA Stokes,Maharashtra Cricket Association Stadium,Rising Pune Supergiants,Gujarat Lions,Rising Pune Supergiants,Fielding,Rising Pune Supergiants,Home Win,wickets,5,Moderate Win,162,20,No,Normal
39,2017,Season 10,Delhi,02-05-2017,League,Mohammed Shami,"Arun Jaitley Stadium, Delhi ",Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,Fielding,Delhi Capitals,Home Win,wickets,6,Moderate Win,186,20,No,Normal
40,2017,Season 10,Kolkata,03-05-2017,League,RA Tripathi,Eden Gardens,Kolkata Knight Riders,Rising Pune Supergiants,Rising Pune Supergiants,Fielding,Rising Pune Supergiants,Away Win,wickets,4,Moderate Win,156,20,No,Normal
41,2017,Season 10,Delhi,04-05-2017,League,RR Pant,"Arun Jaitley Stadium, Delhi ",Delhi Capitals,Gujarat Lions,Delhi Capitals,Fielding,Delhi Capitals,Home Win,wickets,7,Dominating Win,209,20,No,Normal
42,2017,Season 10,Bengaluru,05-05-2017,League,Sandeep Sharma,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,Fielding,Punjab Kings,Away Win,Runs,19,Moderate Win,139,20,No,Normal
43,2017,Season 10,Hyderabad,06-05-2017,League,JD Unadkat,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Rising Pune Supergiants,Sunrisers Hyderabad,Fielding,Rising Pune Supergiants,Away Win,Runs,12,Moderate Win,149,20,No,Normal
44,2017,Season 10,Delhi,06-05-2017,League,LMP Simmons,"Arun Jaitley Stadium, Delhi ",Delhi Capitals,Mumbai Indians,Delhi Capitals,Fielding,Mumbai Indians,Away Win,Runs,146,Dominating Win,213,20,No,Normal
45,2017,Season 10,Bengaluru,07-05-2017,League,SP Narine,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,Fielding,Kolkata Knight Riders,Away Win,wickets,6,Moderate Win,159,20,No,Normal
46,2017,Season 10,Chandigarh,07-05-2017,League,DR Smith,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Gujarat Lions,Gujarat Lions,Fielding,Gujarat Lions,Away Win,wickets,6,Moderate Win,190,20,No,Normal
47,2017,Season 10,Hyderabad,08-05-2017,League,S Dhawan,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,Bating,Sunrisers Hyderabad,Home Win,wickets,7,Dominating Win,139,20,No,Normal
48,2017,Season 10,Chandigarh,09-05-2017,League,MM Sharma,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,Fielding,Punjab Kings,Home Win,Runs,14,Moderate Win,168,20,No,Normal
49,2017,Season 10,Kanpur,10-05-2017,League,SS Iyer,Green Park,Gujarat Lions,Delhi Capitals,Delhi Capitals,Fielding,Delhi Capitals,Away Win,wickets,2,Close Match,196,20,No,Normal
50,2017,Season 10,Mumbai,11-05-2017,League,WP Saha,Wankhede Stadium,Mumbai Indians,Punjab Kings,Mumbai Indians,Fielding,Punjab Kings,Away Win,Runs,7,Close Match,231,20,No,Normal
51,2017,Season 10,Delhi,12-05-2017,League,KK Nair,"Arun Jaitley Stadium, Delhi ",Delhi Capitals,Rising Pune Supergiants,Delhi Capitals,Bating,Delhi Capitals,Home Win,Runs,7,Close Match,169,20,No,Normal
52,2017,Season 10,Kanpur,13-05-2017,League,Mohammed Siraj,Green Park,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,Fielding,Sunrisers Hyderabad,Away Win,wickets,8,Dominating Win,155,20,No,Normal
53,2017,Season 10,Kolkata,13-05-2017,League,AT Rayudu,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Fielding,Mumbai Indians,Away Win,Runs,9,Close Match,174,20,No,Normal
54,2017,Season 10,Pune,14-05-2017,League,JD Unadkat,Maharashtra Cricket Association Stadium,Rising Pune Supergiants,Punjab Kings,Rising Pune Supergiants,Fielding,Rising Pune Supergiants,Home Win,wickets,9,Dominating Win,74,20,No,Normal
55,2017,Season 10,Delhi,14-05-2017,League,HV Patel,"Arun Jaitley Stadium, Delhi ",Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Bating,Royal Challengers Bengaluru,Away Win,Runs,10,Close Match,162,20,No,Normal
56,2017,Season 10,Mumbai,16-05-2017,Playoffs,Washington Sundar,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiants,Mumbai Indians,Fielding,Rising Pune Supergiants,Away Win,Runs,20,Moderate Win,163,20,No,Normal
57,2017,Season 10,Bengaluru,17-05-2017,Playoffs,NM Coulter-Nile,M Chinnaswamy Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Fielding,Kolkata Knight Riders,Away Win,wickets,7,Dominating Win,48,6,No,D/L
58,2017,Season 10,Bengaluru,19-05-2017,Playoffs,KV Sharma,M Chinnaswamy Stadium,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Fielding,Mumbai Indians,Home Win,wickets,6,Moderate Win,108,20,No,Normal
59,2017,Season 10,Hyderabad,21-05-2017,Final,KH Pandya,Rajiv Gandhi International Stadium,Mumbai Indians,Rising Pune Supergiants,Mumbai Indians,Bating,Mumbai Indians,Home Win,Runs,1,Close Match,130,20,No,Normal
1,2018,Season 11,Mumbai,07-04-2018,League,DJ Bravo,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Fielding,Chennai Super Kings,Away Win,wickets,1,Close Match,166,20,No,Normal
2,2018,Season 11,Chandigarh,08-04-2018,League,KL Rahul,"Punjab Cricket Association Stadium, Mohali",Delhi Capitals,Punjab Kings,Punjab Kings,Fielding,Punjab Kings,Away Win,wickets,6,Moderate Win,167,20,No,Normal
3,2018,Season 11,Kolkata,08-04-2018,League,SP Narine,Eden Gardens,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,Fielding,Kolkata Knight Riders,Away Win,wickets,4,Moderate Win,177,20,No,Normal
4,2018,Season 11,Hyderabad,09-04-2018,League,S Dhawan,Rajiv Gandhi International Stadium,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,Fielding,Sunrisers Hyderabad,Away Win,wickets,9,Dominating Win,126,20,No,Normal
5,2018,Season 11,Chennai,10-04-2018,League,SW Billings,"MA Chidambaram Stadium, Chepauk",Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Fielding,Chennai Super Kings,Away Win,wickets,5,Moderate Win,203,20,No,Normal
