Matches,Year,Season ,City,Date,Match_type,Player_of_match,Venue,Home Team,Visiting Team,Toss_winner,Toss_decision,Match Winner,Home/Away Result,Won By,Result_margin,Winning Margin Category,Target_Runs,Target_overs,Super_over,Result Method
37,2012,Season 5,Delhi,29-04-2012,League,V Sehwag,"Arun Jaitley Stadium, Delhi ",Delhi Capitals,Rajasthan Royals,Delhi Capitals,Bating,Delhi Capitals,Home Win,Runs,1,Close Match,153,20,No,Normal
38,2012,Season 5,Mumbai,29-04-2012,League,DW Steyn,Wankhede Stadium,Mumbai Indians,Deccan Chargers,Mumbai Indians,Fielding,Mumbai Indians,Home Win,wickets,5,Moderate Win,101,20,No,Normal
39,2012,Season 5,Chennai,30-04-2012,League,G Gambhir,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Bating,Kolkata Knight Riders,Away Win,wickets,5,Moderate Win,140,20,No,Normal
40,2012,Season 5,Cuttack,01-05-2012,League,KC Sangakkara,Barabati Stadium,Deccan Chargers,Pune Warriors,Deccan Chargers,Bating,Deccan Chargers,Home Win,Runs,13,Moderate Win,187,20,No,Normal
41,2012,Season 5,Jaipur,01-05-2012,League,P Negi,Sawai Mansingh Stadium,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,Bating,Delhi Capitals,Away Win,wickets,6,Moderate Win,142,20,No,Normal
42,2012,Season 5,Bengaluru,02-05-2012,League,Azhar Mahmood,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,Fielding,Punjab Kings,Away Win,wickets,4,Moderate Win,159,20,No,Normal
43,2012,Season 5,Pune,03-05-2012,League,SL Malinga,Subrata Roy Sahara Stadium,Pune Warriors,Mumbai Indians,Mumbai Indians,Bating,Mumbai Indians,Away Win,Runs,1,Close Match,121,20,No,Normal
44,2012,Season 5,Chennai,04-05-2012,League,SK Raina,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Deccan Chargers,Chennai Super Kings,Bating,Chennai Super Kings,Home Win,Runs,10,Close Match,161,20,No,Normal
45,2012,Season 5,Kolkata,05-05-2012,League,SP Narine,Eden Gardens,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,Bating,Kolkata Knight Riders,Home Win,Runs,7,Close Match,151,20,No,Normal
46,2012,Season 5,Chandigarh,05-05-2012,League,SR Watson,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Rajasthan Royals,Rajasthan Royals,Bating,Rajasthan Royals,Away Win,Runs,43,Moderate Win,178,20,No,Normal
